name,nationality,positions,overall,pace,shooting,passing,dribbling,defending,physical
Rodrigo De Paul,Argentina,CM|CDM,83,74,70,82,80,74,72
Jose Gimenez,Uruguay,CB,82,68,40,62,58,84,82
Marcos Llorente,Spain,RM|RB,82,86,74,74,78,66,76
Nahuel Molina,Argentina,RB|RWB,80,84,58,72,76,72,68
Nico Williams,Spain,LW,84,93,76,74,87,34,62
Inaki Williams,Ghana,ST|RW,79,91,74,62,76,34,74
Unai Simon,Spain,GK,82,46,20,66,48,20,76
Mikel Merino,Spain,CM|CDM,82,66,72,78,76,74,76
Take Kubo,Japan,RW|CAM,81,82,74,76,85,38,58
Isco,Spain,CAM,80,62,74,82,84,40,56
Alex Baena,Spain,LW|CAM,81,78,74,80,83,40,58
Ayoze Perez,Spain,ST|CAM,78,70,76,74,76,42,66
Artem Dovbyk,Ukraine,ST,79,68,79,62,68,34,82
Viktor Tsygankov,Ukraine,RW|LW,78,82,72,72,80,36,62
Isaac Romero,Spain,ST,75,72,74,60,70,30,72
Hugo Duro,Spain,ST,76,74,75,60,68,32,74
Giovani Lo Celso,Argentina,CAM|CM,79,68,72,80,82,50,60
Abde Ezzalzouli,Morocco,LW,78,87,70,68,82,34,62
Borja Iglesias,Spain,ST,77,66,76,62,70,32,74
Lautaro Martinez,Argentina,ST,88,82,87,70,84,38,78
Nicolo Barella,Italy,CM,87,78,78,84,84,74,76
Alessandro Bastoni,Italy,CB|LB,86,74,46,78,76,85,78
Hakan Calhanoglu,Turkey,CM|CDM,86,66,80,87,82,66,68
Federico Dimarco,Italy,LWB|LB,84,78,68,82,78,74,72
Yann Sommer,Switzerland,GK,84,44,18,66,48,18,76
Denzel Dumfries,Netherlands,RWB|RB,83,86,68,74,76,70,82
Marcus Thuram,France,ST|LW,85,88,80,72,82,40,80
Kenan Yildiz,Turkey,LW|CAM,82,82,78,78,86,36,60
Dusan Vlahovic,Serbia,ST,83,78,84,64,76,34,82
Manuel Locatelli,Italy,CM|CDM,82,62,70,80,78,74,72
Federico Gatti,Italy,CB,80,70,40,62,58,80,82
Michele Di Gregorio,Italy,GK,82,42,18,62,46,18,76
Teun Koopmeiners,Netherlands,CM|CAM,82,68,78,80,80,62,70
Andrea Cambiaso,Italy,LB|RB,81,78,58,78,78,72,68
Rafael Leao,Portugal,LW,85,94,78,72,87,32,74
Mike Maignan,France,GK,87,48,22,72,54,22,82
Theo Hernandez,France,LB|LWB,85,90,73,76,83,76,82
Christian Pulisic,United States,RW|CAM,83,80,78,78,84,40,62
Tijjani Reijnders,Netherlands,CM,82,76,74,80,82,66,66
Fikayo Tomori,England,CB,82,78,40,66,62,82,76
Alvaro Morata,Spain,ST,80,70,78,66,72,36,78
Victor Osimhen,Nigeria,ST,87,88,87,62,80,36,82
Khvicha Kvaratskhelia,Georgia,LW,86,87,80,78,90,34,64
Scott McTominay,Scotland,CM,81,68,76,74,76,68,80
Alex Meret,Italy,GK,80,42,18,62,46,18,74
Giovanni Di Lorenzo,Italy,RB,82,78,52,74,74,78,70
Paulo Dybala,Argentina,CAM|ST,84,74,82,82,87,32,58
Ademola Lookman,Nigeria,LW|ST,84,84,82,74,85,38,66
Charles De Ketelaere,Belgium,CAM|LW,81,74,76,78,82,42,66
Ciro Immobile,Italy,ST,79,68,80,62,70,30,72
Nicolo Zaniolo,Italy,CAM|RW,78,78,76,74,80,40,68
Moise Kean,Italy,ST,79,84,78,58,74,30,72
Harry Kane,England,ST,90,70,91,83,83,44,82
Jamal Musiala,Germany,CAM|LW,88,82,80,84,92,40,62
Joshua Kimmich,Germany,CDM|RB,87,68,72,89,82,78,72
Manuel Neuer,Germany,GK,86,50,24,74,56,24,78
Leroy Sane,Germany,LW|RW,84,90,78,76,85,34,66
Dayot Upamecano,France,CB,84,82,42,68,66,84,84
Alphonso Davies,Canada,LB|LWB,84,96,58,72,84,72,74
Michael Olise,France,RW|CAM,84,82,78,82,87,36,60
Konrad Laimer,Austria,CM|CDM,81,78,66,76,78,74,74
Granit Xhaka,Switzerland,CM|CDM,84,62,74,84,78,76,74
Victor Boniface,Nigeria,ST,81,80,80,66,78,34,80
Jonathan Tah,Germany,CB,84,72,42,68,62,85,82
Jeremie Frimpong,Netherlands,RB|RWB,82,95,68,68,82,62,68
Exequiel Palacios,Argentina,CM|CDM,81,68,70,80,80,68,66
Patrik Schick,Czech Republic,ST,82,74,84,62,74,32,80
Karim Adeyemi,Germany,LW|ST,81,95,76,66,82,30,66
Julian Brandt,Germany,CAM|CM,82,72,76,82,84,46,62
Niclas Fullkrug,Germany,ST,81,62,82,66,68,34,82
Nico Schlotterbeck,Germany,CB,83,76,42,74,68,82,78
Gregor Kobel,Switzerland,GK,85,46,20,68,50,20,80
Serhou Guirassy,Guinea,ST,82,76,82,60,74,32,78
Xavi Simons,Netherlands,CAM|CM,84,78,78,84,87,46,62
Benjamin Sesko,Slovenia,ST,81,82,80,62,76,32,80
Willi Orban,Hungary,CB,79,66,40,62,56,80,80
Omar Marmoush,Egypt,ST|LW,82,88,82,68,82,32,68
Hugo Ekitike,France,ST,79,82,78,62,76,30,74
Deniz Undav,Germany,ST,79,68,79,66,74,34,76
Robin Gosens,Germany,LB|LWB,79,78,62,74,74,72,76
Ridle Baku,Germany,RB|RWB,78,82,58,70,76,68,68
Ousmane Dembele,France,RW|ST,87,90,80,78,89,36,64
Desire Doue,France,RW|CAM,83,86,76,78,87,34,60
Vitinha,Portugal,CM|CDM,85,70,72,87,86,68,62
Achraf Hakimi,Morocco,RB|RWB|RM,86,92,72,76,84,72,78
Fabian Ruiz,Spain,CM|CAM,83,68,76,82,84,62,64
Gianluigi Donnarumma,Italy,GK,89,48,22,68,52,22,84
Marquinhos,Brazil,CB,86,72,44,74,68,86,78
Nuno Mendes,Portugal,LB|LWB,84,88,60,74,82,74,70
Willian Pacho,Ecuador,CB,82,78,40,68,64,82,78
Folarin Balogun,United States,ST,79,82,78,62,76,30,70
Takumi Minamino,Japan,CAM|LW,78,76,74,76,80,44,58
Mason Greenwood,England,RW|ST,82,80,82,74,84,34,66
Amine Gouiri,Algeria,ST|CAM,80,80,79,68,78,32,68
Georges Mikautadze,Georgia,ST,79,76,80,62,74,32,74
Malick Fofana,Belgium,LW|RW,78,90,72,66,82,30,60
Rayan Cherki,France,CAM|LW,80,76,76,82,87,36,56
Warren Zaire-Emery,France,CM|CDM,81,76,68,80,82,68,66
Cristiano Ronaldo,Portugal,ST,85,78,91,76,82,34,78
Goncalo Ramos,Portugal,ST,81,78,80,66,76,32,74
Viktor Gyokeres,Sweden,ST,85,84,86,68,80,36,84
Brian Brobbey,Netherlands,ST,78,80,76,60,74,30,82
Wout Weghorst,Netherlands,ST,77,66,78,58,66,34,84
Lionel Messi,Argentina,RW|CAM,88,74,85,89,92,32,62
Emiliano Buendia,Argentina,CAM|RW,78,74,72,80,82,42,58
Neymar Jr,Brazil,LW|CAM,84,80,80,84,91,30,58
Estevao,Brazil,RW,79,88,74,74,87,32,56
Luka Modric,Croatia,CM|CAM,85,62,76,89,88,62,58
Marcelo Brozovic,Croatia,CDM|CM,80,62,70,82,78,74,70
Piotr Zielinski,Poland,CAM|CM,80,68,74,80,82,52,62
Dusan Tadic,Serbia,CAM|LW,79,62,74,82,82,44,62
Sergej Milinkovic-Savic,Serbia,CM|CAM,83,68,78,80,82,66,82
Kim Min-jae,South Korea,CB,85,76,42,66,64,86,84
Hwang Hee-chan,South Korea,ST|LW,80,84,76,64,78,36,74
Wataru Endo,Japan,CDM,80,68,58,74,72,80,76
Weston McKennie,United States,CM|RM,80,78,72,74,78,68,78
Tyler Adams,United States,CDM,78,78,56,72,74,78,76
Cyle Larin,Canada,ST,76,76,76,56,68,30,78
Santiago Gimenez,Mexico,ST,80,78,80,62,74,32,74
Hirving Lozano,Mexico,RW|LW,79,87,74,68,82,34,62
Sadio Mane,Senegal,LW|ST,84,86,80,74,85,40,68
Yassine Bounou,Morocco,GK,83,44,20,66,48,20,78
Mohammed Salisu,Ghana,CB,78,74,38,62,58,79,78
Iliman Ndiaye,Senegal,CAM|LW,79,80,74,76,82,38,62
Aleksandar Mitrovic,Serbia,ST,82,68,84,60,72,32,84
Riyad Mahrez,Algeria,RW|CAM,82,76,78,82,87,36,58
Luis Suarez,Uruguay,ST,82,66,84,74,82,36,74
Sergio Busquets,Spain,CDM,78,48,58,82,76,74,62
Ethan Nwaneri,England,CAM|RW,74,78,70,76,80,36,56
Chido Obi,England,ST,69,80,68,54,68,26,66
Rodrigo Mora,Portugal,CAM|LW,74,80,68,74,82,34,56
Assane Diao,Senegal,RW|ST,75,86,72,62,80,30,62
Leny Yoro,France,CB,79,78,36,68,66,80,76
Pau Victor,Spain,ST,73,76,72,60,74,28,68
Marc Bernal,Spain,CDM,72,70,58,74,74,70,64
Ederson,Brazil,GK,87,52,24,84,62,24,76
Nathan Ake,Netherlands,CB|LB,82,72,42,70,66,82,78
Rico Lewis,England,RB|CM,78,72,56,76,78,68,62
Savinho,Brazil,RW|LW,81,87,70,74,86,32,58
Oscar Bobb,Norway,RW|CAM,76,84,70,74,82,32,58
Kieran Tierney,Scotland,LB|LWB,78,74,48,74,70,78,70
Jurrien Timber,Netherlands,RB|CB,82,82,42,74,76,78,70
Jorginho,Italy,CDM|CM,79,54,62,82,76,72,60
Riccardo Calafiori,Italy,CB|LB,81,76,44,76,76,80,76
Curtis Jones,England,CM|CAM,80,74,70,78,82,62,66
Harvey Elliott,England,CAM|RW,78,76,68,78,82,46,56
Federico Chiesa,Italy,RW|LW,81,86,78,70,84,34,62
Joe Gomez,England,CB|RB,78,76,38,66,62,78,74
Caoimhin Kelleher,Ireland,GK,78,44,18,62,46,18,74
Marc Cucurella,Spain,LB|LWB,80,78,46,74,76,76,66
Wesley Fofana,France,CB,80,80,40,64,62,80,78
Malo Gusto,France,RB,78,82,46,70,74,74,66
Christopher Nkunku,France,CAM|ST,82,78,78,78,84,38,64
Romeo Lavia,Belgium,CDM|CM,78,68,56,74,76,76,70
Facundo Buonanotte,Argentina,CAM|LW,76,74,68,76,82,36,54
Antony,Brazil,RW,79,84,72,70,84,34,62
Diogo Dalot,Portugal,RB|LB,79,78,52,74,74,74,70
Manuel Ugarte,Uruguay,CDM,79,70,54,72,74,80,76
Matthijs de Ligt,Netherlands,CB,82,68,42,66,62,83,82
Altay Bayindir,Turkey,GK,76,42,18,60,44,18,76
Yves Bissouma,Mali,CDM|CM,80,72,62,74,78,76,74
Destiny Udogie,Italy,LB|LWB,80,82,54,72,76,74,68
Archie Gray,England,CM|RB,74,72,60,74,74,62,62
Sandro Tonali,Italy,CM|CDM,82,70,72,80,80,74,74
Fabian Schar,Switzerland,CB,80,66,44,68,60,80,78
Joelinton,Brazil,CM|ST,79,74,72,68,76,66,82
Harvey Barnes,England,LW,79,84,74,70,82,32,62
Boubacar Kamara,France,CDM|CB,80,68,58,72,74,78,76
Amadou Onana,Belgium,CDM|CM,79,72,62,72,76,76,80
Jordan Pickford,England,GK,82,46,20,66,46,20,78
James Tarkowski,England,CB,79,62,42,62,56,80,80
Raul Jimenez,Mexico,ST,76,68,76,60,68,32,78
Joao Gomes,Brazil,CM|CDM,78,74,62,72,78,72,74
Antoine Semenyo,Ghana,RW|ST,78,84,74,66,78,34,74
Marcus Tavernier,England,LW|CM,77,78,70,74,78,44,62
Enes Unal,Turkey,ST,75,66,76,58,66,30,76
Emile Smith Rowe,England,CAM|LW,77,74,72,76,80,38,58
Ross Barkley,England,CAM|CM,75,62,70,76,78,48,68
Andriy Lunin,Ukraine,GK,83,44,18,64,48,18,78
Ferland Mendy,France,LB,82,84,48,72,74,78,76
Brahim Diaz,Morocco,CAM|RW,82,78,74,80,86,34,56
Marc Casado,Spain,CDM,77,66,54,74,74,76,68
Gerard Martin,Spain,LB,74,76,44,68,68,72,62
Alex Sorloth,Norway,ST,82,74,82,60,68,32,86
Robin Le Normand,Spain,CB,82,70,40,68,62,83,78
Koke,Spain,CM,82,62,70,82,78,72,66
Angel Correa,Argentina,RW|CAM,79,78,74,74,82,38,60
Conor Gallagher,England,CM|CAM,80,74,72,76,78,66,70
Inigo Martinez,Spain,CB,82,62,42,70,60,82,76
Oihan Sancet,Spain,CAM|CM,81,70,76,78,82,52,66
Yeremy Pino,Spain,RW|LW,78,82,72,70,82,34,60
Sergio Canales,Spain,CAM,80,62,74,82,84,38,58
Jose Luis Morales,Spain,RW,76,74,70,68,78,32,58
Gerard Moreno,Spain,ST,79,68,79,68,74,32,70
Nico Gonzalez,Argentina,LW|RW,81,82,76,72,82,38,64
Ante Budimir,Croatia,ST,77,62,78,58,66,32,78
Pere Milla,Spain,ST|RW,74,68,72,62,68,34,68
Alvaro Fernandez,Spain,LB|LWB,75,80,48,70,74,68,62
Benjamin Pavard,France,RB|CB,82,76,48,74,72,80,76
Petar Sucic,Croatia,CM|CAM,77,70,68,78,78,60,66
Yann Bisseck,Germany,CB,79,82,40,64,62,78,80
Timothy Weah,United States,RW|RB,77,82,68,68,76,48,66
Khephren Thuram,France,CM|CDM,81,74,68,76,80,74,82
Pierre Kalulu,France,CB|RB,78,78,40,66,66,78,76
Bremer,Brazil,CB,82,72,42,64,60,83,82
Samuel Chukwueze,Nigeria,RW|LW,79,86,72,68,82,34,62
Yacine Adli,France,CM|CAM,77,66,68,78,78,58,62
Strahinja Pavlovic,Serbia,CB,78,76,40,62,60,78,82
Amir Rrahmani,Kosovo,CB,80,66,40,64,58,81,80
Frank Anguissa,Cameroon,CM|CDM,80,72,66,74,78,74,82
Matteo Politano,Italy,RW,80,78,74,76,82,38,60
Stanislav Lobotka,Slovakia,CDM|CM,82,66,62,82,82,74,66
Lorenzo Pellegrini,Italy,CAM|CM,80,68,74,80,82,52,60
Bryan Cristante,Italy,CM|CDM,78,64,66,76,74,72,74
Gianluca Mancini,Italy,CB,79,66,42,64,60,80,80
Mateo Retegui,Italy,ST,80,72,82,58,68,30,78
Marten de Roon,Netherlands,CDM|CM,77,62,56,72,68,76,76
Michel Adopo,France,CDM|CM,72,70,54,68,68,68,68
Eric Dier,England,CB|CDM,78,58,44,74,66,78,74
Raphael Guerreiro,Portugal,LB|LWB,82,78,62,80,82,70,62
Serge Gnabry,Germany,RW|LW,82,84,78,74,82,36,66
Aleksandar Pavlovic,Germany,CM|CDM,78,68,62,78,78,68,66
Emre Can,Germany,CDM|CB,79,66,60,74,72,76,78
Waldemar Anton,Germany,CB,78,68,40,66,60,79,78
Ermedin Demirovic,Bosnia and Herzegovina,ST|LW,78,72,78,64,74,32,74
Angelo Stiller,Germany,CM|CDM,79,62,66,82,78,68,62
Chris Fuhrich,Germany,LW|RW,76,80,68,70,78,34,60
Robert Andrich,Germany,CDM,80,60,60,72,68,80,80
Alejandro Grimaldo,Spain,LB|LWB,84,78,68,84,82,72,66
Nathan Tella,England,RW|LW,77,84,70,66,78,32,62
Edmond Tapsoba,Burkina Faso,CB,81,72,42,62,62,82,80
Marcel Sabitzer,Austria,CM|CAM,80,70,74,78,78,62,68
Felix Nmecha,Germany,CM|CAM,79,72,70,76,78,60,74
Ramy Bensebaini,Algeria,LB|CB,79,76,48,68,68,78,76
Kevin Behrens,Germany,ST,74,62,74,56,62,32,78
Kevin Vogt,Germany,CB|CDM,75,58,42,68,62,76,74
Ritsu Doan,Japan,RW|LW,80,82,74,74,82,38,60
Vincenzo Grifo,Italy,LW|CAM,79,74,76,78,80,38,60
Bradley Barcola,France,LW|RW,82,92,76,70,84,32,62
Lee Kang-in,South Korea,CAM|RW,80,74,72,82,85,40,58
Joao Neves,Portugal,CM|CDM,84,76,70,82,84,74,66
Lucas Hernandez,France,CB|LB,81,72,42,68,66,82,78
Presnel Kimpembe,France,CB,78,66,38,66,60,80,76
Wissam Ben Yedder,France,ST,79,70,80,66,76,30,66
Denis Zakaria,Switzerland,CDM|CM,79,72,64,72,74,78,82
Maghnes Akliouche,France,CAM|RW,78,78,70,76,82,38,58
Mika Biereth,Denmark,ST,76,78,78,56,68,28,76
Edon Zhegrova,Kosovo,RW|LW,79,84,72,70,84,32,60
Jonathan David,Canada,ST,82,82,82,66,78,30,68
Nabil Bentaleb,Algeria,CM|CDM,76,62,64,74,74,68,68
Alexandre Lacazette,France,ST,80,66,80,70,78,34,68
Corentin Tolisso,France,CM,78,62,70,76,76,62,74
Moussa Niakhate,France,CB,78,74,40,62,58,79,80
Jeanuel Belocian,France,CB,73,76,36,64,62,74,72
Ola Solbakken,Norway,RW,74,82,68,68,76,32,62
Jonas Wind,Denmark,ST,78,74,78,62,70,30,76
Rasmus Kristensen,Denmark,RB|RWB,77,78,52,70,72,74,70
Christian Eriksen,Denmark,CAM|CM,80,58,74,85,80,50,58
Pierre-Emile Hojbjerg,Denmark,CDM|CM,79,66,62,76,74,76,74
Kamil Grabara,Poland,GK,79,44,18,62,46,18,78
Krzysztof Piatek,Poland,ST,75,68,76,56,66,28,72
Matty Cash,Poland,RB|RWB,79,78,56,68,72,74,74
Oleksandr Zinchenko,Ukraine,LB|CM,79,72,54,80,78,68,60
Illia Zabarnyi,Ukraine,CB,80,76,40,66,64,80,78
Mykhaylo Mudryk,Ukraine,LW,79,94,72,68,84,30,62
Vladimir Coufal,Czech Republic,RB,77,72,48,66,66,74,76
Tomas Soucek,Czech Republic,CM|CDM,79,60,68,66,66,72,84
Milan Skriniar,Slovakia,CB,82,68,42,66,62,84,80
David Hancko,Slovakia,CB|LB,80,74,42,70,68,80,76
Dominik Livakovic,Croatia,GK,81,42,18,62,46,18,76
Josip Stanisic,Croatia,RB|CB,78,74,44,68,66,76,74
Josip Sutalo,Croatia,CB,78,74,40,64,60,78,78
Bart Verbruggen,Netherlands,GK,79,44,18,66,48,18,76
Stefan de Vrij,Netherlands,CB,80,66,42,68,62,81,78
Justin Kluivert,Netherlands,RW|LW,79,84,76,70,82,32,62
Steven Bergwijn,Netherlands,LW|ST,78,84,76,68,80,32,62
Timothy Castagne,Belgium,RB|LB,78,76,52,68,70,74,76
Arthur Theate,Belgium,CB|LB,77,76,42,68,66,76,74
Loic Bade,France,CB,78,78,38,62,58,78,78
Randal Kolo Muani,France,ST|LW,82,87,80,70,80,34,74
Thomas Partey,Ghana,CDM|CM,81,68,68,76,78,78,78
Andre Ayew,Ghana,LW|ST,76,70,74,70,76,36,68
Wilfried Zaha,Ivory Coast,LW|RW,79,86,74,70,84,34,66
Franck Kessie,Ivory Coast,CM|CDM,80,68,72,74,76,72,80
Nicolas Pepe,Ivory Coast,RW,78,84,74,70,82,32,62
Simon Adingra,Ivory Coast,LW|RW,78,86,70,68,82,32,62
Seko Fofana,Ivory Coast,CM|CDM,78,72,68,74,76,70,76
Vincent Aboubakar,Cameroon,ST,77,66,78,60,68,30,76
Karl Toko Ekambi,Cameroon,LW|ST,76,80,74,64,76,32,68
Percy Tau,South Africa,RW|ST,74,82,70,64,78,32,62
Youssef En-Nesyri,Morocco,ST,79,78,79,58,68,32,80
Sofyan Amrabat,Morocco,CDM,78,68,54,70,72,78,78
Nayef Aguerd,Morocco,CB,78,68,40,64,60,79,78
Ismael Bennacer,Algeria,CM|CDM,79,68,62,76,78,72,68
Youcef Atal,Algeria,RB|RWB,76,82,52,68,74,70,66
Naby Keita,Guinea,CM|CDM,78,74,66,76,80,68,70
Piero Hincapie,Ecuador,CB|LB,80,78,42,68,68,80,76
Pervis Estupinan,Ecuador,LB|LWB,79,82,50,72,74,74,68
James Rodriguez,Colombia,CAM,79,62,74,84,84,34,58
Jhon Duran,Colombia,ST,78,84,78,58,76,28,78
Davinson Sanchez,Colombia,CB,77,70,40,62,58,78,78
Alexis Sanchez,Chile,RW|ST,78,76,78,74,82,36,66
Darwin Nunez,Uruguay,ST,82,90,80,62,78,32,80
Ronald Araujo,Uruguay,CB,84,78,44,64,62,85,84
Nahitan Nandez,Uruguay,RM|RB,78,76,66,72,76,70,74
Nicolas Otamendi,Argentina,CB,80,66,42,64,58,82,80
Angel Di Maria,Argentina,RW|LW,81,78,74,84,84,38,60
Marcos Acuna,Argentina,LB|LWB,78,78,54,72,76,74,68
Enzo Perez,Argentina,CM|CDM,76,62,62,74,72,72,68
Thiago Almada,Argentina,CAM|LW,79,80,72,78,84,34,56
Bento,Brazil,GK,76,44,18,60,44,18,74
Danilo,Brazil,RB|CB,79,74,48,70,68,76,74
Eder Militao,Brazil,CB,84,82,44,66,64,85,82
Casemiro,Brazil,CDM,82,60,68,74,74,82,82
Richarlison,Brazil,ST|LW,80,78,78,66,78,36,76
Alex Sandro,Brazil,LB,77,70,46,70,68,74,72
Andreas Pereira,Brazil,CAM|CM,78,68,70,78,78,52,62
Weverton,Brazil,GK,76,42,18,60,44,18,74
Hwang In-beom,South Korea,CM|CDM,76,68,62,74,74,70,66
Kim Young-gwon,South Korea,CB,75,62,38,62,54,76,76
Ao Tanaka,Japan,CM|CDM,78,72,64,76,76,70,66
